origin,destination,num
Andorra,Greece,4.0
Andorra,Iceland,4.0
Andorra,Ireland,2.0
Andorra,Italy,130.0
Andorra,Portugal,361.0
Andorra,Spain,5900.0
Andorra,Switzerland,54.0
Andorra,United Kingdom of Great Britain and Northern Ireland,63.0
Angola,Argentina,9.0
Angola,Australia,580.0
Angola,Austria,341.0
Angola,Belgium,4047.0
Angola,Bolivia (Plurinational State of),6.0
Angola,Botswana,3550.0
Angola,Brazil,7694.0
Angola,Bulgaria,7.0
Angola,Cabo Verde,370.0
Angola,Cameroon,1964.0
Angola,Canada,2991.0
Angola,Chile,56.0
Angola,Colombia,54.0
Angola,Congo,41238.0
Angola,Costa Rica,3.0
Angola,Cuba,92.0
Angola,Czech Republic,171.0
Angola,Democratic Republic of the Congo,185205.0
Angola,Denmark,159.0
Angola,Ecuador,42.0
Angola,Egypt,32.0
Angola,Eritrea,346.0
Angola,Estonia,3.0
Angola,Finland,553.0
Angola,France,21287.0
Angola,Gabon,717.0
Angola,Greece,9.0
Angola,Hungary,81.0
Angola,Iceland,38.0
Angola,Ireland,480.0
Angola,Italy,1869.0
Angola,Latvia,1.0
Angola,Mali,517.0
Angola,Mexico,75.0
Angola,Namibia,33980.0
Angola,Netherlands,5321.0
Angola,Norway,486.0
Angola,Peru,15.0
Angola,Philippines,76.0
Angola,Poland,58.0
Angola,Portugal,151273.0
Angola,Russian Federation,511.0
Angola,Sao Tome and Principe,358.0
Angola,Slovakia,25.0
Angola,South Africa,30268.0
Angola,Spain,3553.0
Angola,Swaziland,122.0
Angola,Sweden,758.0
Angola,Switzerland,6716.0
Angola,United Kingdom of Great Britain and Northern Ireland,15712.0
Angola,United Republic of Tanzania,1249.0
Angola,United States of America,12683.0
Angola,Venezuela (Bolivarian Republic of),188.0
Angola,Zambia,17464.0
Anguilla,Antigua and Barbuda,39.0
Anguilla,"Bonaire, Sint Eustatius and Saba",28.0
Anguilla,Bulgaria,36.0
Anguilla,Canada,82.0
Anguilla,Chile,15.0
Anguilla,Colombia,42.0
Anguilla,Curacao,42.0
Anguilla,Dominica,19.0
Anguilla,Dominican Republic,34.0
Anguilla,France,10.0
Anguilla,Greece,11.0
Anguilla,Ireland,1.0
Anguilla,Netherlands,23.0
Anguilla,Russian Federation,49.0
Anguilla,Saint Lucia,37.0
Anguilla,Sint Maarten (Dutch part),383.0
Anguilla,United Kingdom of Great Britain and Northern Ireland,583.0
Anguilla,United States Virgin Islands,972.0
Antigua and Barbuda,Australia,11.0
Antigua and Barbuda,Austria,7.0
Antigua and Barbuda,Bahamas,14.0
Antigua and Barbuda,Bangladesh,21664.0
Antigua and Barbuda,Barbados,194.0
Antigua and Barbuda,"Bonaire, Sint Eustatius and Saba",25.0
Antigua and Barbuda,British Virgin Islands,752.0
Antigua and Barbuda,Bulgaria,5.0
Antigua and Barbuda,Canada,2677.0
Antigua and Barbuda,Chile,13.0
Antigua and Barbuda,Colombia,40.0
Antigua and Barbuda,Curacao,54.0
Antigua and Barbuda,Denmark,3.0
Antigua and Barbuda,Dominica,442.0
Antigua and Barbuda,Dominican Republic,179.0
Antigua and Barbuda,Egypt,19.0
Antigua and Barbuda,Estonia,1.0
Antigua and Barbuda,Finland,1.0
Antigua and Barbuda,France,61.0
Antigua and Barbuda,Greece,29.0
Antigua and Barbuda,Grenada,38.0
Antigua and Barbuda,Guyana,19.0
Antigua and Barbuda,Ireland,2.0
Antigua and Barbuda,Italy,23.0
Antigua and Barbuda,Jamaica,153.0
Antigua and Barbuda,Montserrat,116.0
Antigua and Barbuda,Namibia,429.0
Antigua and Barbuda,Netherlands,32.0
Antigua and Barbuda,Nicaragua,119.0
Antigua and Barbuda,Saint Kitts and Nevis,404.0
Antigua and Barbuda,Saint Lucia,118.0
Antigua and Barbuda,Saint Vincent and the Grenadines,58.0
Antigua and Barbuda,Sint Maarten (Dutch part),534.0
Antigua and Barbuda,Switzerland,113.0
Antigua and Barbuda,United Kingdom of Great Britain and Northern Ireland,3995.0
Antigua and Barbuda,United States of America,28558.0
Antigua and Barbuda,United States Virgin Islands,4587.0
Argentina,Andorra,640.0
Argentina,Australia,15423.0
Argentina,Austria,1523.0
Argentina,Bahamas,111.0
Argentina,Belarus,102.0
Argentina,Belgium,550.0
Argentina,Bolivia (Plurinational State of),42691.0
Argentina,"Bonaire, Sint Eustatius and Saba",3.0
Argentina,Brazil,34699.0
Argentina,Bulgaria,119.0
Argentina,Cabo Verde,4.0
Argentina,Canada,21350.0
Argentina,Cayman Islands,11.0
Argentina,Chile,70415.0
Argentina,Colombia,3199.0
Argentina,Costa Rica,1504.0
Argentina,Croatia,200.0
Argentina,Cuba,157.0
Argentina,Curacao,21.0
Argentina,Cyprus,93.0
Argentina,Czech Republic,180.0
Argentina,Denmark,1224.0
Argentina,Dominican Republic,1071.0
Argentina,Ecuador,5399.0
Argentina,Egypt,279.0
Argentina,El Salvador,216.0
Argentina,Estonia,13.0
Argentina,Falkland Islands (Malvinas),26.0
Argentina,Finland,462.0
Argentina,France,12946.0
Argentina,Germany,18537.0
Argentina,Greece,641.0
Argentina,Guatemala,554.0
Argentina,Haiti,964.0
Argentina,Honduras,140.0
Argentina,Hungary,396.0
Argentina,Iceland,36.0
Argentina,Ireland,327.0
Argentina,Israel,39343.0
Argentina,Italy,73183.0
Argentina,Japan,2678.0
Argentina,Latvia,18.0
Argentina,Liechtenstein,26.0
Argentina,Lithuania,57.0
Argentina,Luxembourg,39.0
Argentina,Malta,12.0
Argentina,Mauritania,66.0
Argentina,Mexico,18728.0
Argentina,Namibia,45.0
Argentina,Netherlands,3170.0
Argentina,New Zealand,1770.0
Argentina,Nicaragua,270.0
Argentina,Norway,1086.0
Argentina,Panama,2550.0
Argentina,Paraguay,57056.0
Argentina,Peru,11354.0
Argentina,Philippines,148.0
Argentina,Poland,273.0
Argentina,Portugal,1278.0
Argentina,Puerto Rico,1180.0
Argentina,Russian Federation,252.0
Argentina,San Marino,69.0
Argentina,Serbia,49.0
Argentina,Slovakia,83.0
Argentina,Slovenia,437.0
Argentina,South Africa,2419.0
Argentina,Spain,250778.0
Argentina,Sweden,3184.0
Argentina,Switzerland,8863.0
Argentina,Turkey,140.0
Argentina,United Kingdom of Great Britain and Northern Ireland,11339.0
Argentina,United States of America,179639.0
Argentina,Uruguay,22521.0
Argentina,Venezuela (Bolivarian Republic of),9944.0
Armenia,Argentina,561.0
Armenia,Australia,1371.0
Armenia,Austria,3051.0
Armenia,Azerbaijan,148503.0
Armenia,Belarus,5728.0
Armenia,Belgium,10433.0
Armenia,Bolivia (Plurinational State of),5.0
Armenia,Brazil,63.0
Armenia,Bulgaria,1496.0
Armenia,Canada,3919.0
Armenia,Chile,12.0
Armenia,Costa Rica,7.0
Armenia,Cyprus,1309.0
Armenia,Czech Republic,2020.0
Armenia,Denmark,685.0
Armenia,Ecuador,37.0
Armenia,Egypt,179.0
Armenia,Estonia,641.0
Armenia,Finland,117.0
Armenia,France,19083.0
Armenia,Georgia,1980.0
Armenia,Germany,12609.0
Armenia,Greece,14287.0
Armenia,Hungary,190.0
Armenia,Iceland,6.0
Armenia,Iran (Islamic Republic of),2479.0
Armenia,Ireland,53.0
Armenia,Italy,1256.0
Armenia,Jordan,28.0
Armenia,Kazakhstan,9144.0
Armenia,Kyrgyzstan,2380.0
Armenia,Latvia,773.0
Armenia,Libya,255.0
Armenia,Lithuania,574.0
Armenia,Malta,32.0
Armenia,Mexico,132.0
Armenia,Namibia,57.0
Armenia,Netherlands,850.0
Armenia,Norway,305.0
Armenia,Philippines,135.0
Armenia,Poland,2105.0
Armenia,Portugal,97.0
Armenia,Romania,27.0
Armenia,Russian Federation,527287.0
Armenia,Serbia,158.0
Armenia,Slovakia,144.0
Armenia,Spain,9516.0
Armenia,Sweden,2520.0
Armenia,Switzerland,741.0
Armenia,Tajikistan,200.0
Armenia,Turkey,796.0
Armenia,Turkmenistan,7009.0
Armenia,Ukraine,47307.0
Armenia,United Kingdom of Great Britain and Northern Ireland,1790.0
Armenia,United States of America,84953.0
Armenia,Uzbekistan,5870.0
Armenia,Venezuela (Bolivarian Republic of),34.0
Aruba,Antigua and Barbuda,5.0
Aruba,Argentina,1.0
Aruba,Australia,42.0
Aruba,Bolivia (Plurinational State of),2.0
Aruba,"Bonaire, Sint Eustatius and Saba",755.0
Aruba,Bulgaria,5.0
Aruba,Canada,657.0
Aruba,Chile,5.0
Aruba,Colombia,307.0
Aruba,Costa Rica,33.0
Aruba,Curacao,1708.0
Aruba,Denmark,6.0
Aruba,Dominica,47.0
Aruba,Dominican Republic,160.0
Aruba,Finland,3.0
Aruba,France,11.0
Aruba,Greece,1.0
Aruba,Iceland,1.0
Aruba,Ireland,7.0
Aruba,Netherlands,3994.0
Aruba,Philippines,63.0
Aruba,Saint Lucia,17.0
Aruba,Sint Maarten (Dutch part),1286.0
Aruba,United Kingdom of Great Britain and Northern Ireland,678.0
Aruba,United States of America,5943.0
Aruba,United States Virgin Islands,501.0
Aruba,Venezuela (Bolivarian Republic of),486.0
Australia,Andorra,61.0
Australia,Antigua and Barbuda,7.0
Australia,Argentina,275.0
Australia,Austria,2490.0
Australia,Bahamas,83.0
Australia,Barbados,24.0
Australia,Belarus,28.0
Australia,Belgium,881.0
Australia,Bermuda,69.0
Australia,Bhutan,27.0
Australia,Bolivia (Plurinational State of),228.0
Australia,Botswana,448.0
Australia,Brazil,703.0
Australia,British Virgin Islands,23.0
Australia,Brunei Darussalam,515.0
Australia,Bulgaria,198.0
Australia,Cambodia,116.0
Australia,Canada,27538.0
Australia,Cayman Islands,170.0
Australia,Central African Republic,10.0
Australia,Chile,998.0
Australia,China,5227.0
Australia,"China, Hong Kong Special Administrative Region",9091.0
Australia,Colombia,220.0
Australia,Cook Islands,370.0
Australia,Costa Rica,69.0
Australia,Croatia,1595.0
Australia,Cyprus,3319.0
Australia,Czech Republic,528.0
Australia,Democratic People's Republic of Korea,202.0
Australia,Denmark,3018.0
Australia,Dominica,7.0
Australia,Dominican Republic,40.0
Australia,Ecuador,373.0
Australia,Egypt,524.0
Australia,El Salvador,27.0
Australia,Estonia,59.0
Australia,Falkland Islands (Malvinas),42.0
Australia,Fiji,1887.0
Australia,Finland,1358.0
Australia,France,8349.0
Australia,French Polynesia,70.0
Australia,Germany,13892.0
Australia,Ghana,32.0
Australia,Greece,20224.0
Australia,Guatemala,70.0
Australia,Hungary,953.0
Australia,Iceland,115.0
Australia,India,663.0
Australia,Indonesia,10547.0
Australia,Ireland,6601.0
Australia,Isle of Man,371.0
Australia,Israel,3266.0
Australia,Italy,19850.0
Australia,Japan,9062.0
Australia,Jordan,264.0
Australia,Kiribati,89.0
Australia,Lao People's Democratic Republic,17.0
Australia,Latvia,139.0
Australia,Libya,748.0
Australia,Lithuania,38.0
Australia,Luxembourg,77.0
Australia,Malaysia,5310.0
Australia,Maldives,102.0
Australia,Malta,5053.0
Australia,Mexico,592.0
Australia,Mongolia,208.0
Australia,Montenegro,137.0
Australia,Namibia,491.0
Australia,Nauru,148.0
Australia,Netherlands,10366.0
Australia,New Caledonia,354.0
Australia,New Zealand,65161.0
Australia,Niue,21.0
Australia,Norway,2176.0
Australia,Panama,279.0
Australia,Papua New Guinea,9183.0
Australia,Peru,590.0
Australia,Philippines,3993.0
Australia,Poland,908.0
Australia,Portugal,1164.0
Australia,Republic of Korea,4082.0
Australia,Russian Federation,543.0
Australia,Saint Lucia,16.0
Australia,Samoa,333.0
Australia,Serbia,675.0
Australia,Seychelles,52.0
Australia,Singapore,10129.0
Australia,Slovakia,270.0
Australia,Slovenia,401.0
Australia,Solomon Islands,279.0
Australia,South Africa,7350.0
Australia,Spain,5990.0
Australia,Sri Lanka,461.0
Australia,Swaziland,55.0
Australia,Sweden,3944.0
Australia,Switzerland,7872.0
Australia,Thailand,1196.0
Australia,Timor-Leste,509.0
Australia,Tokelau,39.0
Australia,Turkey,2947.0
Australia,United Kingdom of Great Britain and Northern Ireland,135786.0
Australia,United States of America,77845.0
Australia,Vanuatu,629.0
Australia,Venezuela (Bolivarian Republic of),148.0
Australia,Viet Nam,37.0
Australia,Zambia,470.0
Austria,Argentina,1022.0
Austria,Australia,20434.0
Austria,Bahamas,40.0
Austria,Belarus,59.0
Austria,Belgium,3020.0
Austria,Bermuda,32.0
Austria,Bolivia (Plurinational State of),159.0
Austria,Bosnia and Herzegovina,189.0
Austria,Brazil,2791.0
Austria,Bulgaria,519.0
Austria,Canada,19200.0
Austria,Cayman Islands,46.0
Austria,Central African Republic,21.0
Austria,Chile,536.0
Austria,Colombia,209.0
Austria,Costa Rica,132.0
Austria,Croatia,5148.0
Austria,Cyprus,394.0
Austria,Czech Republic,2641.0
Austria,Denmark,1912.0
Austria,Dominican Republic,208.0
Austria,Ecuador,546.0
Austria,Egypt,674.0
Austria,El Salvador,11.0
Austria,Estonia,65.0
Austria,Finland,731.0
Austria,France,12559.0
Austria,Germany,257583.0
Austria,Greece,2253.0
Austria,Haiti,352.0
Austria,Hungary,9044.0
Austria,Iceland,122.0
Austria,Ireland,784.0
Austria,Israel,5064.0
Austria,Italy,16331.0
Austria,Japan,502.0
Austria,Jordan,123.0
Austria,Latvia,119.0
Austria,Libya,752.0
Austria,Liechtenstein,3868.0
Austria,Lithuania,51.0
Austria,Luxembourg,970.0
Austria,Maldives,20.0
Austria,Malta,129.0
Austria,Mexico,497.0
Austria,Mongolia,15.0
Austria,Montenegro,257.0
Austria,Namibia,558.0
Austria,Netherlands,6671.0
Austria,New Zealand,1340.0
Austria,Nicaragua,38.0
Austria,Norway,1588.0
Austria,Panama,108.0
Austria,Peru,197.0
Austria,Philippines,503.0
Austria,Poland,3790.0
Austria,Portugal,488.0
Austria,Romania,195.0
Austria,Russian Federation,2953.0
Austria,Serbia,6998.0
Austria,Slovakia,3154.0
Austria,Slovenia,3052.0
Austria,South Africa,5501.0
Austria,Spain,8844.0
Austria,Sweden,5936.0
Austria,Switzerland,65090.0
Austria,Tajikistan,66.0
Austria,Turkey,14394.0
Austria,United Kingdom of Great Britain and Northern Ireland,21698.0
Austria,United States of America,49704.0
Austria,Venezuela (Bolivarian Republic of),828.0
Azerbaijan,Armenia,87675.0
Azerbaijan,Australia,538.0
Azerbaijan,Austria,1076.0
Azerbaijan,Belarus,13493.0
Azerbaijan,Belgium,1206.0
Azerbaijan,Bolivia (Plurinational State of),1.0
Azerbaijan,Bulgaria,1968.0
Azerbaijan,Canada,3311.0
Azerbaijan,Chile,5.0
Azerbaijan,Costa Rica,3.0
Azerbaijan,Cyprus,39.0
Azerbaijan,Czech Republic,1099.0
Azerbaijan,Denmark,309.0
Azerbaijan,Egypt,37.0
Azerbaijan,Estonia,1486.0
Azerbaijan,Finland,148.0
Azerbaijan,France,4112.0
Azerbaijan,Georgia,3891.0
Azerbaijan,Germany,19180.0
Azerbaijan,Greece,507.0
Azerbaijan,Hungary,159.0
Azerbaijan,Iceland,13.0
Azerbaijan,Iran (Islamic Republic of),12007.0
Azerbaijan,Ireland,50.0
Azerbaijan,Israel,13529.0
Azerbaijan,Italy,709.0
Azerbaijan,Kazakhstan,48377.0
Azerbaijan,Kyrgyzstan,4678.0
Azerbaijan,Latvia,2040.0
Azerbaijan,Lithuania,873.0
Azerbaijan,Netherlands,728.0
Azerbaijan,Norway,511.0
Azerbaijan,Poland,265.0
Azerbaijan,Portugal,63.0
Azerbaijan,Republic of Moldova,984.0
Azerbaijan,Russian Federation,767339.0
Azerbaijan,Slovakia,36.0
Azerbaijan,Spain,616.0
Azerbaijan,Sweden,2882.0
Azerbaijan,Switzerland,578.0
Azerbaijan,Tajikistan,175.0
Azerbaijan,Turkey,16856.0
Azerbaijan,Turkmenistan,7636.0
Azerbaijan,Ukraine,82299.0
Azerbaijan,United Kingdom of Great Britain and Northern Ireland,3126.0
Azerbaijan,United States of America,19799.0
Azerbaijan,Uzbekistan,20357.0
Bahamas,Antigua and Barbuda,2.0
Bahamas,Australia,316.0
Bahamas,Austria,22.0
Bahamas,Barbados,49.0
Bahamas,Belgium,2.0
Bahamas,"Bonaire, Sint Eustatius and Saba",21.0
Bahamas,Brazil,18.0
Bahamas,British Virgin Islands,26.0
Bahamas,Bulgaria,4.0
Bahamas,Canada,2160.0
Bahamas,Cayman Islands,168.0
Bahamas,Chile,2.0
Bahamas,Costa Rica,12.0
Bahamas,Curacao,81.0
Bahamas,Denmark,18.0
Bahamas,Dominica,12.0
Bahamas,Dominican Republic,39.0
Bahamas,Ecuador,48.0
Bahamas,Egypt,17.0
Bahamas,Finland,10.0
Bahamas,France,45.0
Bahamas,Greece,23.0
Bahamas,Grenada,30.0
Bahamas,Guyana,15.0
Bahamas,Hungary,6.0
Bahamas,Iceland,8.0
Bahamas,Ireland,27.0
Bahamas,Italy,93.0
Bahamas,Jamaica,662.0
Bahamas,Namibia,45.0
Bahamas,Netherlands,56.0
Bahamas,Nicaragua,84.0
Bahamas,Norway,20.0
Bahamas,Saint Kitts and Nevis,24.0
Bahamas,Saint Lucia,13.0
Bahamas,Spain,58.0
Bahamas,Sweden,29.0
Bahamas,Switzerland,130.0
Bahamas,Turks and Caicos Islands,12.0
Bahamas,United Kingdom of Great Britain and Northern Ireland,2071.0
Bahamas,United States of America,33617.0
Bahrain,Argentina,12.0
Bahrain,Australia,1656.0
Bahrain,Austria,21.0
Bahrain,Bangladesh,30160.0
Bahrain,Belgium,3.0
Bahrain,Brazil,31.0
Bahrain,Bulgaria,16.0
Bahrain,Canada,2388.0
Bahrain,Chile,5.0
Bahrain,Costa Rica,1.0
Bahrain,Cyprus,120.0
Bahrain,Czech Republic,13.0
Bahrain,Denmark,92.0
Bahrain,Dominican Republic,21.0
Bahrain,Egypt,448.0
Bahrain,Estonia,1.0
Bahrain,Finland,23.0
Bahrain,France,161.0
Bahrain,Greece,23.0
Bahrain,Hungary,15.0
Bahrain,Iceland,1.0
Bahrain,Ireland,82.0
Bahrain,Italy,50.0
Bahrain,Jordan,449.0
Bahrain,Kuwait,1297.0
Bahrain,Lebanon,111.0
Bahrain,Libya,968.0
Bahrain,Namibia,44.0
Bahrain,Netherlands,121.0
Bahrain,Norway,31.0
Bahrain,Oman,891.0
Bahrain,Philippines,111.0
Bahrain,Qatar,764.0
Bahrain,South Africa,177.0
Bahrain,Spain,56.0
Bahrain,Sri Lanka,390.0
Bahrain,State of Palestine,8555.0
Bahrain,Sweden,88.0
Bahrain,Switzerland,307.0
Bahrain,United Kingdom of Great Britain and Northern Ireland,6261.0
Bangladesh,Australia,37092.0
Bangladesh,Austria,2737.0
Bangladesh,Bahrain,78396.0
Bangladesh,Belgium,2350.0
Bangladesh,Bhutan,52.0
Bangladesh,Bolivia (Plurinational State of),28.0
Bangladesh,Brazil,54.0
Bangladesh,Brunei Darussalam,1234.0
Bangladesh,Bulgaria,575.0
Bangladesh,Canada,51227.0
Bangladesh,Chile,5.0
Bangladesh,China,4018.0
Bangladesh,"China, Hong Kong Special Administrative Region",444.0
Bangladesh,Costa Rica,3.0
Bangladesh,Cyprus,725.0
Bangladesh,Czech Republic,162.0
Bangladesh,Democratic People's Republic of Korea,152.0
Bangladesh,Denmark,1086.0
Bangladesh,Egypt,283.0
Bangladesh,El Salvador,6.0
Bangladesh,Estonia,11.0
Bangladesh,Fiji,1366.0
Bangladesh,Finland,2339.0
Bangladesh,France,4995.0
Bangladesh,Germany,7576.0
Bangladesh,Greece,9812.0
Bangladesh,Hungary,71.0
Bangladesh,Iceland,9.0
Bangladesh,India,3171022.0
Bangladesh,Ireland,3232.0
Bangladesh,Italy,97036.0
Bangladesh,Japan,8869.0
Bangladesh,Jordan,12266.0
Bangladesh,Kuwait,350229.0
Bangladesh,Latvia,6.0
Bangladesh,Lebanon,3046.0
Bangladesh,Libya,1250.0
Bangladesh,Luxembourg,32.0
Bangladesh,Malaysia,358432.0
Bangladesh,Maldives,53565.0
Bangladesh,Malta,17.0
Bangladesh,Mauritius,8327.0
Bangladesh,Mexico,72.0
Bangladesh,Myanmar,1024.0
Bangladesh,Namibia,29.0
Bangladesh,Nepal,233.0
Bangladesh,Netherlands,1335.0
Bangladesh,New Zealand,1530.0
Bangladesh,Northern Mariana Islands,370.0
Bangladesh,Norway,1000.0
Bangladesh,Oman,346068.0
Bangladesh,Panama,42.0
Bangladesh,Philippines,158.0
Bangladesh,Poland,100.0
Bangladesh,Portugal,1424.0
Bangladesh,Qatar,160183.0
Bangladesh,Republic of Korea,13733.0
Bangladesh,Romania,119.0
Bangladesh,Russian Federation,471.0
Bangladesh,Saudi Arabia,967223.0
Bangladesh,Seychelles,221.0
Bangladesh,Singapore,80747.0
Bangladesh,South Africa,2908.0
Bangladesh,Spain,10033.0
Bangladesh,Sri Lanka,653.0
Bangladesh,Sweden,7310.0
Bangladesh,Switzerland,2114.0
Bangladesh,Thailand,1022.0
Bangladesh,Timor-Leste,125.0
Bangladesh,Turkey,329.0
Bangladesh,Uganda,148.0
Bangladesh,United Arab Emirates,906483.0
Bangladesh,United Kingdom of Great Britain and Northern Ireland,230143.0
Bangladesh,United States of America,186028.0
Bangladesh,Viet Nam,7895.0
Barbados,Antigua and Barbuda,302.0
Barbados,Argentina,7.0
Barbados,Australia,443.0
Barbados,Austria,21.0
Barbados,Bahamas,238.0
Barbados,Belgium,3.0
Barbados,"Bonaire, Sint Eustatius and Saba",64.0
Barbados,Brazil,33.0
Barbados,British Virgin Islands,182.0
Barbados,Bulgaria,4.0
Barbados,Canada,17207.0
Barbados,Cayman Islands,166.0
Barbados,Chile,5.0
Barbados,Costa Rica,11.0
Barbados,Curacao,191.0
